sample, total, mapped
WATDE0565, 1349602685, 1347247690
WATDE0660, 1330742115, 1327988605
WATDE0622, 1390533192, 1388146794
WATDE0686, 1313966456, 1310491114
WATDE0687, 1263099309, 1260671251
WATDE0521, 1264269389, 1261448301
WATDE0638, 1160730488, 1158788258
WATDE0650, 1363807085, 1360474560
WATDE0676, 1591231261, 1588758501
WATDE0602, 1333674111, 1330754116
WATDE0589, 1415796850, 1413191947
WATDE0628, 1166657316, 1164585121
WATDE0680, 1136895829, 1134968476
WATDE0663, 1150329480, 1148150736
WATDE0598, 1817375368, 1813543287
WATDE0560, 1410490315, 1407784105
WATDE0634, 1164937488, 1163430205
WATDE0646, 1183724542, 1180579899
WATDE0678, 1135595464, 1133906351
WATDE0648, 1197927953, 1195462084
WATDE0498, 1484118234, 1481703677
WATDE0630, 1434554348, 1431873768
WATDE0624, 1484162576, 1481425476
WATDE0643, 1173465212, 1171806482
WATDE0671, 1165807446, 1164131947
WATDE0591, 1149539713, 1147622411
WATDE0649, 1177528840, 1175636253
WATDE0632, 1329126555, 1326073233
WATDE0631, 1273648221, 1271800153
WATDE0662, 1226264807, 1223623267
WATDE0592, 1285395749, 1283543999
WATDE0651, 1238475906, 1235826350
WATDE0659, 1339554602, 1337619621
WATDE0588, 1136941963, 1135157791
WATDE0570, 1181627079, 1179372985
WATDE0664, 1124215520, 1122745173
WATDE0606, 1165796416, 1163230450
WATDE0655, 1224684505, 1222494829
WATDE0611, 1226971022, 1224883090
WATDE0636, 1199128333, 1197220763
WATDE0578, 1341912198, 1339340883
WATDE0658, 1188442268, 1186093423
WATDE0700, 1197368080, 1195025971
WATDE0763, 1298757981, 1296424657
WATDE0689, 1175792139, 1173849609
Norda, 3156740672, 3154072270
WATDE0613, 1405160328, 1403308311
WATDE0610, 1604168113, 1600902164
WATDE0694, 1157953687, 1154991815
WATDE0639, 1470090439, 1467542939
WATDE0685, 1467951759, 1465508841
WATDE0665, 1450976323, 1448588480
WATDE0725, 1531199155, 1528734591
WATDE0657, 1155460370, 1153503455
WATDE0682, 1196220225, 1194345205
WATDE0695, 1219221445, 1217284939
WATDE0699, 1239053589, 1237012779
WATDE0732, 1260041148, 1258074125
WATDE0749, 1214946883, 1212960886
WATDE0751, 1308651336, 1306725469
WATDE0710, 1267163690, 1264751316
WATDE0735, 1235113645, 1232809689
WATDE0736, 1238729430, 1236642402
WATDE0574, 1309771579, 1307470762
WATDE0705, 1138478569, 1136239351
WATDE0534, 1328905900, 1326891269
WATDE0727, 1166127400, 1164478395
WATDE0701, 1162991396, 1161205676
WATDE0723, 1229984476, 1228096239
WATDE0738, 1323482986, 1321369853
WATDE0728, 1176217701, 1174031478
WATDE0718, 1574072122, 1571712581
WATDE0707, 1224746918, 1222705850
WATDE0571, 1757537798, 1754654783
WATDE0683, 1424638522, 1422191524
